koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,label
0,0,8.47237911,174.16212,0.022,2.7245,1123.5,2.59,751.0,75.44,47.6,5354.0,4.587,0.788,15.339,1
0,0,60.4189369,181.16367,0.094,5.039,931.3,2.36,390.0,5.49,20.1,5354.0,4.587,0.788,15.339,1
0,0,12.611904345,180.892284,0.55,5.1497,5385.612499999999,7.4,753.0,76.15,255.76250000000002,5795.0,4.508,0.919,15.14,1
1,0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920.0,2761.2975000000006,112.6,6017.0,4.22,1.339,15.122,0
1,1,10.31872301,173.31543,1.215,3.836,871.7,28.59,876.0,139.26,38.2,5927.0,4.409,1.06,15.065,0
0,0,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332.0,743.09,38.9,5519.0,4.35,1.062,15.026,1
0,0,6.770300385,170.57662,0.838,2.0844,1304.0,2.77,812.0,102.87,50.8,5653.0,4.656,0.679,15.591,1
1,1,0.444291966,169.865406,1.258,2.0792,5385.612499999999,27.51,1836.0,2706.26,255.76250000000002,5255.0,4.678,0.636,15.748,0
0,0,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361.0,4.0,35.2,4196.5,4.754,0.493,15.954,1
0,0,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273.0,1.32,26.0,4196.5,4.754,0.493,15.954,1
0,0,23.9800854,147.537,0.95,5.351,104.0,1.31,649.0,41.94,17.1,5854.0,4.406,1.012,12.882,1
0,0,7.82502168,136.54995,0.708,2.186,520.8,1.2,494.0,14.05,15.9,4196.5,4.754,0.493,15.954,1
0,0,3.895936525,170.527552,0.524,2.3111,5385.612499999999,7.34,1005.0,241.62,255.76250000000002,5557.0,4.592,0.774,15.725,1
0,0,22.36646466,175.45862,0.4,5.228,986.8,2.32,536.0,19.45,32.1,5395.0,4.615,0.734,15.583,1
0,0,1.625522174,170.8266564,0.076,2.38963,5385.612499999999,9.73,1579.0,1467.41,255.76250000000002,5539.0,4.322,1.106,15.001,1
0,1,7.544039,171.7982,1.175,6.222,322.6,17.47,838.0,116.46,14.2,5657.0,4.567,0.824,15.559,0
1,0,10.328035714,174.581054,0.281,7.7915,5385.612499999999,13.28,843.0,119.31,255.76250000000002,5627.0,4.359,1.024,15.646,0
0,0,87.105456694375,154.23552,0.379,8.9302,5385.612499999999,8.9,308.0,2.14,138.8,5485.0,4.556,0.867,15.403,1
0,0,6.164876,135.63916,0.646,3.262,55.8,0.79,1021.0,256.35,14.4,5854.0,4.406,1.012,12.882,1
0,0,60.32494216,228.323880625,0.224,6.6188,5385.612499999999,12.19,411.0,6.77,255.76250000000002,5485.0,4.556,0.867,15.403,1
0,0,29.1598615,150.69922,0.3619,4.803,488.0,1.91,524.0,17.85,11.6,5485.0,4.556,0.867,15.403,1
0,1,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470.0,1105.68,38.8,5663.0,4.53,0.915,15.974,0
0,1,2.99025443,171.9834,0.014,5.414,589.2,1.7,918.0,168.45,48.5,4667.0,4.578,0.731,15.842,0
0,0,1.594745374,170.6483505,0.514,1.9604,5385.612499999999,11.3,1539.0,1329.42,255.76250000000002,5934.0,4.491,0.893,15.53,1
0,0,20.50588921,181.43428,0.26,4.0595,2105.5,3.41,518.0,17.06,78.5,4905.0,4.544,0.761,15.398,1
0,0,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656.0,43.73,71.6,4196.5,4.754,0.493,15.954,1
1,1,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326.0,730.47,64.9,5926.0,4.506,0.939,15.555,0
0,0,18.64932728,174.771,0.08,4.4056,893.6,3.12,701.0,57.13,46.1,5775.0,4.405,1.053,15.386,1
0,0,4.90144976,138.60548,0.529,4.1654,140.7,1.7,1262.0,598.74,50.6,5847.0,4.191,1.402,12.487,1
0,0,9.75192101,138.78608,0.949,4.793,418.0,2.76,870.0,135.66,28.5,5775.0,4.405,1.053,15.386,1
0,0,38.5576546,163.85063,0.911,5.794,993.0,4.02,550.0,21.71,39.7,5775.0,4.405,1.053,15.386,1
0,0,3.525632539,170.0479951,0.12,2.59959,5385.612499999999,11.58,975.0,213.12,255.76250000000002,5150.0,4.572,0.793,15.224,1
0,0,7.748094239,174.997206,0.517,3.5957,2472.1,5.52,964.0,204.39,113.2,5973.0,4.439,1.085,15.67,1
0,0,23.96793669,186.22182,0.416,3.827,1182.3,1.8,329.0,2.77,27.5,4196.5,4.728,0.524,15.414,1
0,0,8.11437482,176.33968,0.573,2.2736,1558.0,2.1,460.0,10.55,56.4,4196.5,4.753,0.517,15.877,1
1,0,38.036729482,196.934947,0.501,4.34617,5385.612499999999,27.5,500.0,14.81,255.76250000000002,5575.0,4.521,0.932,15.472,0
1,0,4.64090031,173.64638,1.28,12.28915,2450.6,30.09,1155.0,421.08,255.76250000000002,6463.0,4.5,0.826,15.27,0
1,1,3.747838198,171.66504,1.121,5.0642,616.0,13.65,1031.0,266.76,138.2,5514.0,4.569,0.826,13.496,0
0,0,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874.0,137.91,107.4,5847.0,4.191,1.402,12.487,1
0,0,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639.0,39.33,37.8,5601.0,4.41,0.999,15.54,1
1,0,7.91936937,172.181092,0.733,3.3148,5385.612499999999,10.34,814.0,104.0,255.76250000000002,5690.0,4.588,0.776,15.805,0
0,0,15.37562369,173.61402,0.692,3.3169,5385.612499999999,11.01,600.0,30.54,166.0,4986.0,4.496,0.833,16.422,1
0,0,8.10363271,176.9486,0.047,3.161,887.9,2.11,687.0,52.82,39.3,4861.0,4.574,0.732,15.289,1
0,0,4.71510843,134.96178,0.258,2.506,417.5,1.46,823.0,108.84,21.3,4861.0,4.574,0.732,15.289,1
0,0,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914.0,165.33,70.8,5776.0,4.554,0.849,15.09,1
0,1,5.97581754,174.77602,0.941,3.065,962.4,3.86,1047.0,284.25,50.3,6108.0,4.471,0.997,15.546,0
0,1,2.446737317,170.66951,1.241,4.7211,1177.9,26.25,1261.0,597.19,110.2,5764.0,4.548,0.863,15.021,0
0,0,3.04033046,169.9490106,0.736,1.8411,5385.612499999999,8.99,1021.0,257.29,255.76250000000002,5035.0,4.519,0.791,15.028,1
0,0,15.33528675,174.00278,0.773,3.897,3081.4,5.0,610.0,32.67,86.6,5251.0,4.581,0.817,15.855,1
0,0,7.95825328,137.80219,0.706,4.377,50.0,1.06,1074.0,314.15,14.7,5847.0,4.191,1.402,12.487,1
0,0,31.33046135,153.43031,0.798,5.176,5073.8,6.5,481.0,12.61,117.2,5251.0,4.581,0.817,15.855,1
1,0,3.9043425,173.393734,0.709,3.831,5385.612499999999,12.28,1104.0,351.05,255.76250000000002,5810.0,4.526,0.898,15.016,0
1,0,9.286358079,171.8214689,0.377,3.49949,5385.612499999999,17.61,796.0,95.03,255.76250000000002,5670.0,4.523,0.821,15.365,0
1,0,3.951405455,173.276125,1.276,2.1862,2453.9,31.44,1133.0,388.71,117.2,6046.0,4.539,0.869,15.446,0
0,0,23.65369415,171.376107,0.008,8.2183,3341.8,7.89,731.0,67.65,255.76250000000002,5739.0,4.191,1.384,15.084,1
0,0,13.23352214,140.32196,0.014,6.7372,504.6,3.06,888.0,146.67,49.1,5739.0,4.191,1.384,15.084,1
0,0,6.15560285,134.81656,0.235,4.9843,285.0,2.32,1146.0,406.94,35.1,5739.0,4.191,1.384,15.084,1
