rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
8068,12351927,FALSE POSITIVE,FALSE POSITIVE,1,0,10.116144515,139.9824969,0.879,2.70314,5385.612499999999,17.21,549.0,21.56,255.76250000000002,4717.0,4.737,0.519,288.51062,51.162472,15.52,0
8069,12353720,FALSE POSITIVE,FALSE POSITIVE,1,0,1.953285321,133.1432,1.312,1.67598,1520.3,56.65125,2797.125,2761.2975000000006,237.7,6450.0,3.7465000000000015,2.0783750000000003,289.57025,51.125702,13.077,0
8074,2853828,FALSE POSITIVE,FALSE POSITIVE,0,0,87.105456694375,228.323880625,0.45,12.28915,148.2,1.57,314.0,2.3,14.3,6327.0,4.276,1.259,291.74017,38.014912,11.899,0
8075,7008149,FALSE POSITIVE,FALSE POSITIVE,0,1,0.51554111,131.6708765,0.576,0.87,507.45000000000005,2.68,928.0,176.51,30.75,5779.5,4.438,1.0,281.55936,42.520489,15.786,0
8076,3542573,FALSE POSITIVE,FALSE POSITIVE,1,0,3.471399214,133.7510303,1.014,5.07707,5385.612499999999,56.65125,1558.0,1390.76,255.76250000000002,6026.0,4.101,1.689,290.85925,38.633808,12.161,0
8077,3543270,FALSE POSITIVE,FALSE POSITIVE,1,0,4.176929219,133.197382,0.984,5.2003,5385.612499999999,31.35,938.0,183.08,187.0,5462.0,4.628,0.708,291.05762,38.64534,15.22,0
8078,3544678,FALSE POSITIVE,FALSE POSITIVE,1,1,6.3762199,134.9584,0.576,2.24,507.45000000000005,2.68,928.0,168.45,30.75,5779.5,4.438,1.0,291.44281,38.623581,15.822,0
8081,3548622,FALSE POSITIVE,FALSE POSITIVE,0,0,87.105456694375,143.4648,0.001,9.63,425.4,1.96,225.0,0.61,8.2,6117.0,4.496,0.947,292.47549,38.691311,14.542,0
8082,3749508,FALSE POSITIVE,FALSE POSITIVE,0,0,2.403704619,131.5641527,1.007,0.8927,110.6,27.04,2797.125,2761.2975000000006,1.4,6244.0,3.7465000000000015,2.0783750000000003,292.1059,38.83622,13.151,0
8083,4917014,FALSE POSITIVE,FALSE POSITIVE,0,1,0.796815149,131.9743416,0.524,1.0727,55.9,10.23,2797.125,2761.2975000000006,4.8,4897.0,3.7465000000000015,2.0783750000000003,289.7692,40.021091,11.971,0
8084,4932691,FALSE POSITIVE,FALSE POSITIVE,1,0,18.11208877,134.713916,0.982,6.7828,5385.612499999999,56.65125,1068.0,307.27,217.7,7256.5,4.167,1.722,294.24017,40.00745,13.627,0
8086,4946680,FALSE POSITIVE,FALSE POSITIVE,1,0,8.665259912,132.216249,1.269,3.1088,1840.6,56.65125,1378.0,852.84,181.4,6071.0,3.796,2.0783750000000003,297.38254,40.02417,13.852,0
8087,4947726,FALSE POSITIVE,FALSE POSITIVE,1,0,4.726086185,132.9230889,0.651,4.39793,5385.612499999999,41.38,1032.0,267.96,255.76250000000002,5873.0,4.547,0.863,297.61514,40.06081,15.181,0
8089,5529501,FALSE POSITIVE,FALSE POSITIVE,0,0,1.51945182,132.5975,0.599,2.95,13.7,0.5,1901.0,2761.2975000000006,9.6,6168.0,4.25,1.307,290.4678,40.754238,12.585,0
8090,5530881,FALSE POSITIVE,FALSE POSITIVE,1,0,5.082523739,132.9614122,0.269,5.04732,5385.612499999999,56.65125,1266.0,606.33,255.76250000000002,6507.0,4.343,1.145,290.92267,40.777359,13.508,0
8091,5535280,FALSE POSITIVE,FALSE POSITIVE,1,0,74.985292949,146.1390004,0.987,6.23451,5385.612499999999,49.22,425.0,7.69,255.76250000000002,5955.0,4.52,0.91,292.34787,40.733101,14.851,0
8093,5553624,FALSE POSITIVE,FALSE POSITIVE,1,0,25.762056721,139.7346639,0.445,12.28915,5385.612499999999,56.65125,604.0,31.48,255.76250000000002,5539.0,4.393,1.027,296.98712,40.77536,14.231,0
8095,6543682,FALSE POSITIVE,FALSE POSITIVE,1,0,1.195516859,132.302869,0.327,6.17216,5385.612499999999,56.65125,1715.0,2045.19,255.76250000000002,5780.0,4.438,1.0,297.54327,41.951748,13.908,0
8096,6545018,FALSE POSITIVE,FALSE POSITIVE,1,0,1.995728294,132.839699,0.465,6.43532,5385.612499999999,45.2,1409.0,928.82,255.76250000000002,5807.0,4.455,0.861,297.81381,41.963051,13.748,0
8097,6548447,FALSE POSITIVE,FALSE POSITIVE,0,0,10.768391927,137.679347,0.001,12.28915,5385.612499999999,52.8,970.0,209.25,255.76250000000002,5226.0,3.97,1.643,298.54251,41.953201,12.88,0
