rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
5015,8882847,K03490.01,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,-0.13723477205266124,0.115116214675558,0.12171575389401847,0.37522837596607556,-0.3204681394823871,-0.025348257353398625,-0.5319958332721537,-0.05175292827382779,-0.3412191571546633,-0.3428650325216095,0.5817972956030598,-0.3989689871478945,-0.04909899173503832,-0.28239657872306745,0.3895239173835666,-0.6739510770857874,0
5016,9773869,K03568.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.35652084211631896,-0.4884461821598551,-0.07813782012647405,0.12885746390886715,4.051545749139438,-0.013478425223395969,-0.394611326071556,-0.051465364830547755,0.05164957647031021,-0.3428650325216095,0.5038397910448,0.2498162140747223,-0.10604299814876443,0.22984599307236428,0.7863783095003963,1.723170189773375,0
5017,6707942,K03569.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.4113390806243567,-0.5077254595601085,0.003974720731527755,-0.44527908387016363,0.051576991392108036,-0.03170243294975791,-0.5433499247763354,-0.05177084935471287,0.9081216993671039,-0.3428650325216095,-1.0986200248749858,0.6051579320588412,-0.1674306119993998,0.8249974233091046,-0.46028254965459287,-0.47774542179126533,0
5018,5023948,K03570.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.4707206124724807,-0.4874141123786768,0.01594366736506698,-0.2312412131825937,1.616808872451396,-0.020111140023979217,0.6136319994997728,-0.04010822934425792,1.7360257060898883,-0.3428650325216095,0.8453679062524146,0.14435996228588657,-0.13270464277022,0.652882030726191,-1.0029541894471805,0.5729500801120092,0
5019,5113053,K03571.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.45948421534242917,-0.4811553488512888,-0.08982841916388447,-0.15273677826424223,4.321901389705429,-0.009358366160916433,0.4819245380512659,-0.04306991038527952,1.8223014169353957,-0.3428650325216095,0.9728222391016331,-0.1376208848886078,-0.0770772607822448,0.6845790671575142,-0.986515664216933,0.9077792962124439,0
5020,5817957,K07742.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,2.593057346426149,3.2408646271832526,0.03375791351731145,2.4989373101919456,-0.30972523332661756,-0.03513484835180952,-1.0190863588015457,-0.0520518671549746,-0.3333343570906367,-0.3428650325216095,0.08682901269347354,0.46989882650359577,-0.14043981127150648,1.350431813112624,-0.7575928785442878,0.8388229608371954,0
5021,11853878,K01833.03,CONFIRMED,CANDIDATE,0,0,0,0,-0.4386348575492067,-0.42283791429395035,-0.010221006671042058,-0.6093076366082459,-0.3159848880726767,-0.03575866011126945,-0.5626518803334442,-0.05179862067509152,-0.3363054411727337,2.7867676286488163,-1.6430851360755307,0.8550433982541243,-0.1934339444079799,-1.378567313317473,1.762574448908821,0.016323166722115038,1
5023,11810124,K03344.02,CONFIRMED,CANDIDATE,0,0,0,0,-0.45573527821898296,-0.5041344898539994,-0.13018882060256332,-0.5188515059502582,-0.32012251437370903,-0.03570933546052145,0.11178115501494473,-0.04852548141627645,-0.3411048846899672,-0.3428650325216095,-0.24356231614867535,-0.07801517735578639,-0.09567458079597617,-0.5223637363058818,1.7370145841423283,0.7193934315274856,1
5024,11303322,K03345.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.17085736810915728,-0.0836379974241736,-0.06282870233938895,0.09538869556541173,-0.32044290336334075,-0.035749955761137445,-0.5978495639964072,-0.0518445672760841,-0.3461328731365928,-0.3428650325216095,0.7921588158396341,0.23147599637231617,-0.10554926398910783,0.5710333231808781,1.4695944781865076,0.27793070711481027,1
5025,11241912,K03346.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.36662985119976477,-0.39666316094355475,0.05268555005407117,-0.1448225847374671,-0.32113854247096596,-0.035752857211181446,-0.40483000842531947,-0.051492055802078725,-0.3348198991316852,-0.3428650325216095,0.24645628393181512,0.21542830588270953,-0.1164114155015527,-0.3175670320064964,1.4525391957142237,-0.627743223483817,1
5028,9349757,K03348.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.18486982321255616,-0.48707053598747235,-0.14967315233158068,-0.212162148671747,-0.3179587914711273,-0.03555846005823347,-0.6568908398181517,-0.05190862560775842,-0.34087633976057513,-0.3428650325216095,-0.20272743280863448,0.045781292135453414,-0.10670131036163988,0.5376122242586472,0.5831787459178118,0.7137063110841667,1
